book,chapter,verse,clause.n,time.n,domain,num.time.phrases,verb.tense,num.preps,preps,num.subs,subs,num.quants,quants,pdp.tags
Genesis,1,1,427553,651503,?,1,perf,1,B,1,R>CJT/,0,NA,prep-subs
Genesis,2,2,427680,651884,N,1,wayq,1,B,1,JWM/,0,NA,prep-art-subs-art-adjv
Genesis,2,2,427682,651890,N,1,wayq,1,B,1,JWM/,0,NA,prep-art-subs-art-adjv
Genesis,2,5,427693,651918,D,1,impf,0,NA,0,NA,0,NA,advb
Genesis,2,5,427694,651923,D,1,impf,0,NA,0,NA,0,NA,advb
Genesis,2,17,427738,652050,Q,1,impf,1,B,1,JWM/,0,NA,prep-subs
Genesis,3,14,427835,652341,Q,1,impf,0,NA,1,KL/,0,NA,subs-subs-subs
Genesis,3,17,427851,652388,Q,1,impf,0,NA,1,KL/,0,NA,subs-subs-subs
Genesis,3,22,427870,652447,Q,1,weqt,1,L,1,<WLM/,0,NA,prep-subs
Genesis,4,3,427887,652496,N,1,wayq,1,MN,1,QY/,0,NA,prep-subs-subs
Genesis,4,14,427927,652620,Q,1,perf,0,NA,1,JWM/,0,NA,art-subs
Genesis,4,26,427975,652775,N,1,perf,0,NA,0,NA,0,NA,advb
Genesis,5,1,427978,652781,?,1,perf,1,B,1,JWM/,0,NA,prep-subs
Genesis,5,2,427982,652797,N,1,wayq,1,B,1,JWM/,0,NA,prep-subs
Genesis,5,3,427984,652802,N,1,wayq,0,NA,2,CLC/|M>H/,2,CLC/|M>H/,subs-conj-subs-subs
Genesis,5,6,427993,652831,N,1,wayq,0,NA,2,XMC/|M>H/,2,XMC/|M>H/,subs-subs-conj-subs-subs
Genesis,5,7,427995,652840,N,1,wayq,0,NA,2,CB</|CMNH/,3,CB</|CMNH/|M>H/,subs-subs-conj-subs-subs-subs
Genesis,5,9,428000,652853,N,1,wayq,0,NA,1,TC</,1,TC</,subs-subs
Genesis,5,10,428002,652862,N,1,wayq,0,NA,2,XMC/|CMNH/,4,XMC/|<FRH/|CMNH/|M>H/,subs-subs-subs-conj-subs-subs-subs
Genesis,5,12,428007,652875,N,1,wayq,0,NA,1,CB</,1,CB</,subs-subs
Genesis,5,13,428009,652884,N,1,wayq,0,NA,2,>RB</|CMNH/,3,>RB</|CMNH/|M>H/,subs-subs-conj-subs-subs-subs
Genesis,5,15,428014,652897,N,1,wayq,0,NA,2,XMC/|CC/,2,XMC/|CC/,subs-subs-conj-subs-subs
Genesis,5,16,428016,652906,N,1,wayq,0,NA,2,CLC/|CMNH/,3,CLC/|CMNH/|M>H/,subs-subs-conj-subs-subs-subs
Genesis,5,18,428021,652919,N,1,wayq,0,NA,3,CNJM/|CC/|M>H/,3,CNJM/|CC/|M>H/,subs-conj-subs-subs-conj-subs-subs
Genesis,5,19,428023,652928,N,1,wayq,0,NA,1,CMNH/,2,CMNH/|M>H/,subs-subs-subs
Genesis,5,21,428028,652941,N,1,wayq,0,NA,2,XMC/|CC/,2,XMC/|CC/,subs-conj-subs-subs
Genesis,5,22,428030,652951,N,1,wayq,0,NA,1,CLC/,2,CLC/|M>H/,subs-subs-subs
Genesis,5,25,428037,652972,N,1,wayq,0,NA,3,CB</|CMNH/|M>H/,3,CB</|CMNH/|M>H/,subs-conj-subs-subs-conj-subs-subs
Genesis,5,26,428039,652981,N,1,wayq,0,NA,3,CNJM/|CMNH/|CB</,4,CNJM/|CMNH/|CB</|M>H/,subs-conj-subs-subs-conj-subs-subs-subs
Genesis,5,28,428044,652994,N,1,wayq,0,NA,3,CNJM/|CMNH/|M>H/,3,CNJM/|CMNH/|M>H/,subs-conj-subs-subs-conj-subs-subs
